band	state	site	box	year	date	class	age	sex	experiment	treatment	cap_num	b_cort	s_cort	d_cort	a_cort	inj_type	ss_type	b_lat	s_lat	d_a_lat	b_gluc	s_gluc	d_gluc	a_gluc	stage	post_trt	mass	bhead	fwing	massd15	time_start	notes
278172151	NY	CU2	32	2019	162	adult	ASY	F	Color_Stressor	Predator_Dull	3	10.794	60.093		39.984	Cortro	B_S_A30	105	31	30	223	260		280	provision	yes	17.5	28.7	119		506	"Day 6 nestling mass: 68g / 5 nestlings
The age of this bird was recored as SY on captures 1 and 2."
278172152	NY	CU2	41	2019	162	adult	SY	F	Color_Stressor	Predator_Dull	3	6.365	56.68		65.128	Cortro	B_S_A30	85	30	31	248	253		306	provision	yes	19	28.6	116		501	51g for 4N
278172153	NY	CU2	127	2019	161	adult	SY	F	Color_Stressor	Predator_Control	3	2.312	33.743		36.683	Cortro	B_S_A30	88	30	31	200	206		250	provision	yes	17	28.2	113		435	"BOLUS COLLECTED- DAY SIX SIZE: 60 GRAMS, 5 NESTLINGS"
278172154	NY	CU2	75	2019	162	adult	SY	F	Color_Stressor	Control_Dull	3	3.074	47.391		50.431	Cortro	B_S_A30	104	31	30	234	220		282	provision	yes	17	29	115		466	"At third capture female entered trap without it setting
Day 6 Mass: 74g/6 nestlings"
278172155	NY	CU2	15	2019	164	adult	SY	F	Color_Stressor	Predator_Control	3	0.47	24.523		17.859	Cortro	B_S_A30	115	30	30	282	435		443	provision	yes	18.25	28	116		506	
278172158	NY	CU2	105	2019	166	adult	SY	F	Color_Stressor	Predator_Dull	3	1.276	27.13		53.347	Cortro	B_S_A30	116	30	31	222	300		284	provision	yes	17.25	27	113		459	
278172160	NY	CU2	64	2019	168	adult	ASY	F	Color_Stressor	Predator_Dull	3	3.21	27.447		23.235	Cortro	B_S_A30	141	33	20	230	240		239	provision	yes	18.25	28.6	115		488	
278172162	NY	CU2	34	2019	170	adult	SY	F	Color_Stressor	Control_Dull	3	1.494	18.826		44.37	Cortro	B_S_A30	75	30	31	203	263		247	provision	yes	19	28	116		515	
278172163	NY	CU2	14	2019	172	adult	ASY	F	Color_Stressor	Predator_Dull	3	5.066	29.941		23.462	Cortro	B_S_A30	118	30	31	196	170		180	provision	yes	19	29.2	115		524	
278172224	NY	CU1	47	2019	161	adult	SY	F	Color_Stressor	Control_Control	3	1.921	40.038		34.544	Cortro	B_S_A30	53	30	30	174	233		224	provision	no	19.25	28.3	111		437	
278172233	NY	CU1	86	2019	169	adult	SY	F	Color_Stressor	Predator_Control	3	1.732	28.047		61.067	Cortro	B_S_A30	180	30	30	231	241		248	provision	yes	16.75	28.5	116		478	
278172235	NY	CU1	83	2019	172	adult	SY	F			3	5.338	50.907		51.444	Cortro	B_S_A30	83	30	30	224	217		226	provision	no	17.25	28.1	109		514	
281128402	NY	CU2	20	2019	158	adult	SY	F	Color_Stressor	Control_Control	3	1.117	21.62		20.827	Cortro	B_S_A30	180	30	31	220	227		227	provision	no	19	27.4	119		530	
281128403	NY	CU2	94	2019	160	adult	SY	F	Color_Stressor	Predator_Control	3	1.353	27.483		33.126	Cortro	B_S_A30	69	30	31	197	256		276	provision	yes	19	28.2	113		483	
281128601	NY	CU2	99	2019	168	adult	SY	F	Color_Stressor	Control_Control	3	0.623	37.936		84.605	Cortro	B_S_A30	98	31	29	283	266		263	provision	no	17.5	28.2	122		470	
281128602	NY	CU2	85	2019	168	adult	ASY	F	Color_Stressor	Control_Dull	3	0.062	12.455		29.692	Cortro	B_S_A30	85	31	30	235	239		237	provision	yes	18.5	28.5	116		435	
281128603	NY	CU2	72	2019	170	adult	SY	F	Color_Stressor	Predator_Control	3	1.622	21.596		21.727	Cortro	B_S_A30	116	36	31	213	212		242	provision	yes	18.25	26.9	114		523	
281128701	NY	CU1	105	2019	160	adult	SY	F	Color_Stressor	Predator_Dull	3	0.949	22.385		23.507	Cortro	B_S_A30	88	31	31	207	262		273	provision	yes	19.75	29	114		483	
281128704	NY	CU1	58	2019	168	adult	SY	F	Color_Stressor	Predator_Control	3	4.17	50.276		69.81	Cortro	B_S_A30	135	31		236	296		288	provision	yes	17.5	28.3	120		476	Bolus taken
156181125	NY	CU2	61	2016	144	adult	ASY	F	Stressor	High_Tape	1	4.58	21.12	5.51		Dex_or_nothing	B_S_D	130	32	33	197	244			early_inc	no	22.75	28.7	120.5		505	
156181125	NY	CU2	61	2016	150	adult	ASY	F	Stressor	High_Tape	2	4.41				Dex_or_nothing	B_S_D	120			281				late_inc	yes	20				457	
156181125	NY	CU2	61	2016	159	adult	ASY	F	Stressor	High_Tape	3	0.54	16.54	4.64		Dex_or_nothing	B_S_D	115	50	38	262	324			provision	yes	18.9	28.1	120		472	
156181126	NY	CU4	96	2016	145	adult	SY	F	Stressor	Control	1	1.7	40.66	9		Dex_or_nothing	B_S_D	90	31	30	230	304			early_inc	no	22.5	28.3	119		520	
156181126	NY	CU4	96	2016	151	adult	SY	F	Stressor	Control	2	1.98				Dex_or_nothing	B_S_D	90			252				late_inc	no	21.5				605	
156181127	NY	CU4	14	2016	151	adult	ASY	F	CORT_Dose	DMSO_6d	1	1.56	13.25	8.58		Dex_or_nothing	B_S_D	90	32	32	206	276			early_inc	no	21	28.5	119		434	
156181127	NY	CU4	14	2016	158	adult	ASY	F	CORT_Dose	DMSO_6d	2	2.11				Dex_or_nothing	B_S_D	150			172				late_inc	no	22				440	
156181156	NY	CU4	104	2016	151	adult	SY	F	Stressor	Control	1	1.12	40.4	7.63		Dex_or_nothing	B_S_D	120	30	32	196	289			early_inc	no	21	28.7	113		454	
156181156	NY	CU4	104	2016	157	adult	SY	F	Stressor	Control	2	3.22				Dex_or_nothing	B_S_D	100			233				late_inc	no	21				453	
156181156	NY	CU4	104	2016	165	adult	SY	F	Stressor	Control	3	8.71	25.44	8.69		Dex_or_nothing	B_S_D	180	30	32	199	232			provision	no	16.2	28.6	115		514	
160120584	NY	CU2	103	2016	158	adult	AHY	M	CORT_Dose	Mate_DMSO_6d	1	5.71	28.71	12.85		Dex_or_nothing	B_S_D	100	31	32	193	199			provision	no	21.5	29.1	124		543	
177177110	AK	McCarthy	113	2016	161	adult	ASY	F	Stressor	Predator	1	0.91	118	17.01		Dex_or_nothing	B_S_D	70	-76	43	213	264			early_inc	no	20	28.5	115.5		476	"released after baseline blood sample on 6/8 and recaptured on 6/9 for stress, dex, and morpho. Mass on 6/9 was 20.5"
177177110	AK	McCarthy	113	2016	167	adult	ASY	F	Stressor	Predator	2	0.47				Dex_or_nothing	B_S_D	130			211				late_inc	yes	21				384	
177177110	AK	McCarthy	113	2016	175	adult	ASY	F	Stressor	Predator	3	1.16	71.83	20.86		Dex_or_nothing	B_S_D	90	32	31	185	198			provision	yes	19	28.5	114		471	
177177117	AK	McCarthy	131	2016	161	adult	SY	F	Stressor	Low_Tape	1	4.46	48.09	12.27		Dex_or_nothing	B_S_D	107	31	40	211	298			early_inc	no	21.25	27.7	118.5		384	
177177117	AK	McCarthy	131	2016	167	adult	SY	F	Stressor	Low_Tape	2	4.07				Dex_or_nothing	B_S_D	85			202				late_inc	yes	20				364	
177177117	AK	McCarthy	131	2016	177	adult	SY	F	Stressor	Low_Tape	3	2.05	11.67	6.19		Dex_or_nothing	B_S_D	99	30	32	174	208			provision	yes	20	27.5	115		368	
177177119	AK	McCarthy	139	2016	156	adult	ASY	F	Stressor	Predator	1	2.1	21.52	2.49		Dex_or_nothing	B_S_D	141	30	31	185	245			early_inc	no	22.25	28.1	117		360	
177177119	AK	McCarthy	139	2016	162	adult	ASY	F	Stressor	Predator	2	0.7				Dex_or_nothing	B_S_D	83			217				late_inc	yes	21.75				423	
177177119	AK	McCarthy	139	2016	170	adult	ASY	F	Stressor	Predator	3	0.8	15.9	6.88		Dex_or_nothing	B_S_D	84	32	30	207	212			provision	yes	22.5	28.7	117		430	
177177136	AK	McCarthy	125	2016	158	adult	ASY	F	Stressor	Medium_Tape	1	2.63	13.53	12.29		Dex_or_nothing	B_S_D	109	32	33	204	223	228		early_inc	no	21.75	29.1	117		375	"Lost RFID tag, replaced on second capture. Old RFID 041917A9BF new RFID 041917C225"
177177136	AK	McCarthy	125	2016	163	adult	ASY	F	Stressor	Medium_Tape	2	3.06				Dex_or_nothing	B_S_D	133			255				late_inc	yes	20.5				426	1st new RFID fell off after capture; ID was 041917A9BF
177177136	AK	McCarthy	125	2016	173	adult	ASY	F	Stressor	Medium_Tape	3	0.32	3.6	3.95		Dex_or_nothing	B_S_D	81	36	31	218	205			provision	yes	20.25	28.1	117		441	Taped feathers on the left wing cut off (primaries and secondaries)
177177140	AK	McCarthy	134	2016	158	adult	SY	F	Stressor	Control	1	0.83	88.67	32.03		Dex_or_nothing	B_S_D	90	32	34	203	281			early_inc	no	19.75	28.3	117		402	SY?
177177140	AK	McCarthy	134	2016	163	adult	SY	F	Stressor	Control	2	0.95				Dex_or_nothing	B_S_D	140			224				late_inc	no	21.25				416	
177177140	AK	McCarthy	134	2016	175	adult	SY	F	Stressor	Control	3	0.47	11.14	13.3		Dex_or_nothing	B_S_D	125	32	30	165	229			provision	no	18.5	28	117.5		368	
177177147	AK	Currant_Ridge	B	2016	159	adult	ASY	F	Stressor	Control	1	0.56	62.2	13.57		Dex_or_nothing	B_S_D	150	31	30	231	256			early_inc	no	19.75	29.1	120.5		366	
177177147	AK	Currant_Ridge	B	2016	164	adult	ASY	F	Stressor	Control	2	1.77				Dex_or_nothing	B_S_D	140			232				late_inc	no	22				366	
177177147	AK	Currant_Ridge	B	2016	176	adult	ASY	F	Stressor	Control	3	2.09	89.26	13.5		Dex_or_nothing	B_S_D	170	34	29	174	215			provision	no	20.75	28.6	121		415	
177177149	AK	McCarthy	174	2016	161	adult	ASY	F	Stressor	Medium_Tape	1	6.59	38.13	35.16		Dex_or_nothing	B_S_D	157	33	33	231	265			early_inc	no	18.75	27.6	114.5		516	
177177149	AK	McCarthy	174	2016	167	adult	ASY	F	Stressor	Medium_Tape	2	1.96				Dex_or_nothing	B_S_D	95			213				late_inc	yes	16.75				415	
177177149	AK	McCarthy	174	2016	177	adult	ASY	F	Stressor	Medium_Tape	3	0.56	16.75	7.94		Dex_or_nothing	B_S_D	132	34	30	199	196			provision	yes	18	27.35	115		540	
177177155	AK	Long_Lake	47.5	2016	168	adult	ASY	F	Stressor	Low_Tape	1	0.47	138.92	42.49		Dex_or_nothing	B_S_D	92	30	31	194	174			early_inc	no	20	28.4	120		418	
177177155	AK	Long_Lake	47.5	2016	174	adult	ASY	F	Stressor	Low_Tape	2	4.11				Dex_or_nothing	B_S_D	76			217				late_inc	yes	18.25				408	
177177155	AK	Long_Lake	47.5	2016	184	adult	ASY	F	Stressor	Low_Tape	3	5.19	34.28	13.78		Dex_or_nothing	B_S_D	131	32	30	193	241			provision	yes	19.25	28.1	121		458	
177177156	AK	Long_Lake	50	2016	173	adult	ASY	F	Stressor	Control	1	8.71	6.65	6.19		Dex_or_nothing	B_S_D	135	31	31	206	231			early_inc	no	21.5	28.5	120		421	
177177156	AK	Long_Lake	50	2016	179	adult	ASY	F	Stressor	Control	2	0.47				Dex_or_nothing	B_S_D	91			238				late_inc	no	19.25				491	Caught in box 49 for 2nd capture; continued incubating 49's abonded eggs
177177171	AK	Long_Lake	51	2016	164	adult	AHY	M	Stressor	Mate_Low_Tape	1	3.37	66.45	16.02		Dex_or_nothing	B_S_D	160	30	35	167	164			provision	no	22	28.6	121		472	Base sample is in red tube and stress sample is in clear tube--still labeled correctly
177177173	AK	Long_Lake	58	2016	162	adult	ASY	F	Stressor	Medium_Tape	1	3.96	39.01	3.83		Dex_or_nothing	B_S_D	124	34	34	175	197			early_inc	no	22.5	28.9	118		373	
177177173	AK	Long_Lake	58	2016	168	adult	ASY	F	Stressor	Medium_Tape	2	2.3				Dex_or_nothing	B_S_D	75			184				late_inc	yes	20.25				399	
177177173	AK	Long_Lake	58	2016	178	adult	ASY	F	Stressor	Medium_Tape	3	4	32.98	1.08		Dex_or_nothing	B_S_D	81	33	33	187	270			provision	yes	19.5	27.9	118		406	
177177178	AK	Long_Lake	26	2016	174	adult	SY	F	Stressor	Predator	1	0.47	49.1	17.85		Dex_or_nothing	B_S_D	64	31	30	187	205			early_inc	no	20.75	28.5	114.5		366	
177177178	AK	Long_Lake	26	2016	180	adult	SY	F	Stressor	Predator	2	0.47				Dex_or_nothing	B_S_D	66			230				late_inc	yes	19.5				477	
177177178	AK	Long_Lake	26	2016	189	adult	SY	F	Stressor	Predator	3	2.55	61.4	16.48		Dex_or_nothing	B_S_D	137	31	30	216	171			provision	yes	18.5	28.5	114		498	
177177179	AK	Long_Lake	20	2016	174	adult	ASY	F	Stressor	Predator	1	1.44	25.37	5.27		Dex_or_nothing	B_S_D	110	32	30	212	249			early_inc	no	20.75	28.3	119		371	
177177179	AK	Long_Lake	20	2016	180	adult	SY	F	Stressor	Predator	2	2.95				Dex_or_nothing	B_S_D	90			235				late_inc	yes	19.75				466	
177177180	AK	Long_Lake	35	2016	174	adult	AHY	M	Stressor	Mate_Predator	1	3.68	33.37	8.34		Dex_or_nothing	B_S_D	150	31	34	136	200			provision	no	20.5	28.9	118		466	
177177181	AK	Long_Lake	24	2016	174	adult	AHY	M	Stressor	Mate_Predator	1	4.84	28.22	6.47		Dex_or_nothing	B_S_D	102	33	29	167	221			provision	no	20.75	28.6	126		540	
177177182	AK	Long_Lake	48	2016	174	adult	AHY	M	Stressor	Mate_Control	1	4.98	43.53	19.97		Dex_or_nothing	B_S_D	170	31	30	203	222			provision	no	19	29.7	118		548	
177177183	AK	McCarthy	134	2016	175	adult	AHY	M	Stressor	Mate_Control	1	11.72	9.58	6.62		Dex_or_nothing	B_S_D	135	33	34	220	226			provision	no	20.9	29.3	120		376	
177177184	AK	McCarthy	113	2016	175	adult	AHY	M	Stressor	Mate_Predator	1	5.66	36.87	5.47		Dex_or_nothing	B_S_D	90	31	30	164	224			provision	no	19.5	29	122		467	
177177185	AK	Long_Lake	37	2016	176	adult	ASY	F	Stressor	Control	1	0.47	33.25	10.22		Dex_or_nothing	B_S_D	120	32	34	159	207			early_inc	no	20.25	27.9	122		457	
177177186	AK	Long_Lake	28	2016	176	adult	AHY	M	Stressor	Mate_Control	1	1.57	30.21	9.17		Dex_or_nothing	B_S_D	130	35	31	207	215			provision	no	18	28.5	116		461	
177177189	AK	Long_Lake	17	2016	178	adult	AHY	M	Stressor	Mate_Medium_Tape	1	5.8	31.61	9.13		Dex_or_nothing	B_S_D	79	38	31	196	188			provision	no	18.75	27.6	126		383	
177177201	AK	Long_Lake	1	2016	155	adult	ASY	F	Stressor	High_Tape	1	4.31	34.45	12.35		Dex_or_nothing	B_S_D	165	32	33	181	217			early_inc	no	20.5	28	118		436	release time not written in adult binder
177177202	AK	Long_Lake	18	2016	157	adult	SY	F	Stressor	Predator	1	10.51	65.99	35.91		Dex_or_nothing	B_S_D	83	32	32	196	289			early_inc	no	19	28.9	120		382	"marked as ""SY?"" in adult binder"
177177202	AK	Long_Lake	18	2016	163	adult	SY	F	Stressor	Predator	2	2.24				Dex_or_nothing	B_S_D	116			191				late_inc	yes	20.25				374	SY?
177177203	AK	Long_Lake	51	2016	157	adult	SY	F	Stressor	Low_Tape	1	0.81	42.13	6.97		Dex_or_nothing	B_S_D	100	32	31	197	329			early_inc	no	20	28.5	119		391	SY?
177177204	AK	Long_Lake	35	2016	157	adult	SY	F	Stressor	Predator	1	6.66	11.43	13.72		Dex_or_nothing	B_S_D	170	34	31	194	240			early_inc	no	20	28.6	115		403	SY?
177177204	AK	Long_Lake	35	2016	163	adult	SY	F	Stressor	Predator	2	2.66				Dex_or_nothing	B_S_D	89			181				late_inc	yes	21.25				391	
177177204	AK	Long_Lake	35	2016	174	adult	SY	F	Stressor	Predator	3	0.86	40.99	9.29		Dex_or_nothing	B_S_D	57	30	31	214	186			provision	yes	20	28.2	117		429	
177177205	AK	Long_Lake	33	2016	158	adult	SY	F	Stressor	Low_Tape	1	7.12	69.61	17.77		Dex_or_nothing	B_S_D	140	32	31	189	247			early_inc	no	20	27.2	115		380	SY?
177177206	AK	Long_Lake	48	2016	158	adult	SY	F	Stressor	Control	1	0.65	27.57	9.76		Dex_or_nothing	B_S_D	90	33	36	202	234			early_inc	no	18.75	27.9	116		389	
177177206	AK	Long_Lake	48	2016	163	adult	SY	F	Stressor	Control	2	2.94				Dex_or_nothing	B_S_D	170			225				late_inc	no	19.5				395	SY?
177177206	AK	Long_Lake	48	2016	174	adult	SY	F	Stressor	Control	3	5.28	30.09	2.08		Dex_or_nothing	B_S_D	109	31	32	196	213			provision	no	18.25	27.5	117		493	
177177207	AK	Long_Lake	25	2016	159	adult	SY	F	Stressor	Medium_Tape	1	0.47	33.24	10.83		Dex_or_nothing	B_S_D	175	34	31	192	249			early_inc	no	19.5	27.6	119		391	
177177207	AK	Long_Lake	25	2016	164	adult	ASY	F	Stressor	Medium_Tape	2	1.88				Dex_or_nothing	B_S_D	165			234				late_inc	yes	17.5				417	ASY?
177177208	AK	Long_Lake	28	2016	161	adult	SY	F	Stressor	Control	1	8.39	30	15.45		Dex_or_nothing	B_S_D	170	32	30	191	267			early_inc	no	21.5	27.8	112		383	
177177208	AK	Long_Lake	28	2016	166	adult	SY	F	Stressor	Control	2	1.6				Dex_or_nothing	B_S_D	73			225				late_inc	no	20.75				411	
177177208	AK	Long_Lake	28	2016	176	adult	SY	F	Stressor	Control	3	0.47	28.29	4.59		Dex_or_nothing	B_S_D	150	31	35	206	246			provision	no	20.25	28.7	113.5		454	
177177209	AK	Long_Lake	9	2016	161	adult	ASY	F	Stressor	Control	1	4.22	57.08	15.65		Dex_or_nothing	B_S_D	97	33	32	266	322			early_inc	no	19.5	28.4	122		393	Supposed to be med tape but was too stressed and tape was removed before release
177177210	AK	Long_Lake	17	2016	161	adult	ASY	F	Stressor	Medium_Tape	1	7.3	37.99	8.7		Dex_or_nothing	B_S_D	80	30	43	241	262			early_inc	no	22	28.3	119		404	
177177210	AK	Long_Lake	17	2016	166	adult	ASY	F	Stressor	Medium_Tape	2	2.88				Dex_or_nothing	B_S_D	80			210				late_inc	yes	18.75				383	
177177210	AK	Long_Lake	17	2016	178	adult	ASY	F	Stressor	Medium_Tape	3	5.56	25	6.48		Dex_or_nothing	B_S_D	138	33	33	214	216			provision	yes	20.5	28	116		390	
177177211	AK	McCarthy	112	2016	165	adult	ASY	F	Stressor	Low_Tape	1	2.38	59.45	9.38		Dex_or_nothing	B_S_D	95	31	32	206	227			early_inc	no	18.5	27.4	115		426	
177177211	AK	McCarthy	112	2016	171	adult	ASY	F	Stressor	Low_Tape	2	0.47				Dex_or_nothing	B_S_D	60			213				late_inc	yes	18.25				487	
177177211	AK	McCarthy	112	2016	181	adult	ASY	F	Stressor	Low_Tape	3	0.66	27.58	11.03		Dex_or_nothing	B_S_D	82	35	30	202	217			provision	yes	16.75	26.8	115		442	
177177212	AK	Long_Lake	12	2016	166	adult	ASY	F	Stressor	Low_Tape	1	0.47	48.75	8.83		Dex_or_nothing	B_S_D	112	32	28	225	231			early_inc	no	19.25	28	115		427	
177177213	AK	McCarthy	122	2016	168	adult	SY	F	Stressor	Medium_Tape	1	5.82	58.5	30.77		Dex_or_nothing	B_S_D	88	30	31	201	260			early_inc	no	20.75	27.7	118.5		371	
177177213	AK	McCarthy	122	2016	175	adult	SY	F	Stressor	Medium_Tape	2	2.51				Dex_or_nothing	B_S_D	71			235				late_inc	yes	19.5				370	"Left wing secondaries broken, lost the zip tie"
177177214	AK	McCarthy	181	2016	168	adult	AHY	M	Stressor	Mate_Control	1	5.3	17.97	5.67		Dex_or_nothing	B_S_D	141	37	35	243	229			provision	no	21	28.9	122		506	stress sample lysed
177177215	AK	McCarthy	139	2016	170	adult	AHY	M	Stressor	Mate_Predator	1	1.32	8.97	7.34		Dex_or_nothing	B_S_D	98	31	33	188	201			provision	no	20.5	27.6	120		468	
177177216	AK	McCarthy	141	2016	179	adult	AHY	M	Stressor	Mate_Predator	3	7.54	53.09	10.95		Dex_or_nothing	B_S_D	160	30	31	181	205			provision	no	18.75	28.4	120.5		373	baseline sample lysed
177177253	AK	McCarthy	105	2016	161	adult	ASY	F	Stressor	Low_Tape	1	5.54	9.44	14.29		Dex_or_nothing	B_S_D	70	32	35	205	209			early_inc	no	19.25	28.2	118		394	early dex sample 4ul box A F1
177177253	AK	McCarthy	105	2016	167	adult	ASY	F	Stressor	Low_Tape	2	4.35				Dex_or_nothing	B_S_D	111			190				late_inc	yes	18				387	
177177253	AK	McCarthy	105	2016	175	adult	ASY	F	Stressor	Low_Tape	3	0.68	16.44	3.94		Dex_or_nothing	B_S_D	83	33	30	250	331			provision	yes	19.25	27.9	117.5		513	
177177254	AK	McCarthy	175	2016	161	adult	SY	F	Stressor	Low_Tape	1	8.01	51.54	19.22		Dex_or_nothing	B_S_D	147	37	32	256	264			early_inc	no	19.5	29	120.5		501	noted as SY?
177177254	AK	McCarthy	175	2016	167	adult	SY	F	Stressor	Low_Tape	2	2.93				Dex_or_nothing	B_S_D	66			233				late_inc	yes	18.5				414	
177177254	AK	McCarthy	175	2016	177	adult	SY	F	Stressor	Low_Tape	3	2.22	44.76	0.25		Dex_or_nothing	B_S_D	140	32	90	205	221			provision	yes	18	27.9	117		465	dex bleed was done 1 hour late
177177255	AK	McCarthy	171	2016	161	adult	SY	F	Stressor	Control	1	7.68	26.24	11.17		Dex_or_nothing	B_S_D	123	30	32	227	247			early_inc	no	20	27.4	113		524	
177177255	AK	McCarthy	171	2016	167	adult	SY	F	Stressor	Control	2	3.05				Dex_or_nothing	B_S_D	90			237				late_inc	no	21.5				450	
177177255	AK	McCarthy	171	2016	177	adult	SY	F	Stressor	Control	3	1.93	16.26	9.14		Dex_or_nothing	B_S_D	100	32	31	201	132			provision	no	19.5	27.4	114		480	
